,symbol
1729,MLNK
1730,MLNX
1731,MLVF
1732,MMAC
1733,MMLP
1734,MMSI
1735,MMYT
1736,MNDL
1737,MNDO
1738,MNGA
1739,MNKD
1740,MNOV
1741,MNRK
1742,MNRO
1743,MNST
1744,MNTA
1745,MNTX
1746,MOBI
1747,MOBL
1748,MOCO
1749,MOFG
1750,MOKO
1751,MOLG
1752,MOMO
1753,MORN
1754,MOSY
1755,MPAA
1756,MPB
1757,MPEL
1758,MPET
1759,MPWR
1760,MRCC
1761,MRCY
1762,MRD
1763,MRGE
1764,MRKT
1765,MRLN
1766,MRNS
1767,MRTN
1768,MRTX
1769,MRVC
1770,MRVL
1771,MSBF
1772,MSCC
1773,MSEX
1774,MSFG
1775,MSFT
1776,MSG
1777,MSLI
1778,MSON
1779,MSTR
1780,MTBC
1781,MTEX
1782,MTGE
1783,MTGEP
1784,MTLS
1785,MTRX
1786,MTSC
1787,MTSI
1788,MTSL
1789,MTSN
1790,MU
1791,MULT
1792,MVIS
1793,MWIV
1794,MXIM
1795,MXWL
1796,MYGN
1797,MYL
1798,MYOS
1799,MYRG
1800,MZOR
1801,NAII
1802,NAME
1803,NANO
1804,NATH
1805,NATI
1806,NATL
1807,NATR
1808,NAUH
1809,NAVG
1810,NAVI
1811,NBBC
1812,NBIX
1813,NBN
1814,NBS
1815,NBTB
1816,NBTF
1817,NCIT
1818,NCLH
1819,NCMI
1820,NCTY
1821,NDAQ
1822,NDLS
1823,NDRM
1824,NDSN
1825,NECB
1826,NEO
1827,NEOG
1828,NEON
1829,NEOT
1830,NEPT
1831,NERV
1832,NETE
1833,NEWP
1834,NEWS
1835,NEWT
1836,NFBK
1837,NFEC
1838,NFLX
1839,NGHC
1840,NGHCP
1841,NHTB
1842,NICE
1843,NICK
1844,NILE
1845,NKSH
1846,NKTR
1847,NLNK
1848,NLST
1849,NMIH
1850,NMRX
1851,NNBR
1852,NPBC
1853,NPSP
1854,NRCIA
1855,NRCIB
1856,NRIM
1857,NRX
1858,NSEC
1859,NSIT
1860,NSPH
1861,NSSC
1862,NSTG
1863,NSYS
1864,NTAP
1865,NTCT
1866,NTES
1867,NTGR
1868,NTIC
1869,NTK
1870,NTLS
1871,NTRI
1872,NTRS
1873,NTRSP
1874,NTWK
1875,NUAN
1876,NURO
1877,NUTR
1878,NUVA
1879,NVAX
1880,NVCN
1881,NVDA
1882,NVDQ
1883,NVEC
1884,NVEE
1885,NVEEW
1886,NVFY
1887,NVGN
1888,NVMI
1889,NVSL
1890,NWBI
1891,NWBO
1892,NWBOW
1893,NWFL
1894,NWLI
1895,NWPX
1896,NWS
1897,NWSA
1898,NXPI
1899,NXST
1900,NXTD
1901,NXTDW
1902,NXTM
1903,NYMT
1904,NYMTP
1905,NYMX
1906,NYNY
1907,OBAS
1908,OBCI
1909,OCC
1910,OCFC
